REF_AREA,country_name,TIME_PERIOD,FIRM_SIZE,firm_size_label,FIRM_SECTOR,sector_label,FIRM_AGE,SAFE_ITEM,problem,severity_score_1_10,top_box_share_8_10,high_pressure_share_7_10
AT,Austria,2015-S1,SME,SME,A,All,0,P3,Access to finance,4.662233650471417,26.083703929055226,30.999522393866265
AT,Austria,2015-S2,SME,SME,A,All,0,P3,Access to finance,4.3003956535251495,21.99222768865431,27.005593955405388
AT,Austria,2016-S1,SME,SME,A,All,0,P3,Access to finance,4.369402636860195,21.90766691143616,26.1295124256871
AT,Austria,2016-S2,SME,SME,A,All,0,P3,Access to finance,4.273094636433681,19.23108038259878,25.984945035282692
AT,Austria,2017-S1,SME,SME,A,All,0,P3,Access to finance,4.376168093712902,21.66774760547986,26.84606251582544
AT,Austria,2017-S2,SME,SME,A,All,0,P3,Access to finance,4.460546906146324,22.22900978811815,28.85439558452224
AT,Austria,2018-S1,SME,SME,A,All,0,P3,Access to finance,4.194169507006271,18.98297410861312,24.908453116010534
AT,Austria,2018-S2,SME,SME,A,All,0,P3,Access to finance,4.073364240083888,18.470118889328024,23.673112242321796
AT,Austria,2019-S1,SME,SME,A,All,0,P3,Access to finance,4.0287362652744685,17.764923345170264,22.293199751404575
AT,Austria,2019-S2,SME,SME,A,All,0,P3,Access to finance,4.2393134534513335,18.060771748577345,24.96849956229708
AT,Austria,2020-S1,SME,SME,A,All,0,P3,Access to finance,4.657237026572371,27.021975270219755,33.4473403344734
AT,Austria,2020-S2,SME,SME,A,All,0,P3,Access to finance,4.489139293024878,23.034054140032485,29.055203902287662
AT,Austria,2021-S1,SME,SME,A,All,0,P3,Access to finance,4.012590707596065,17.788078610448235,23.90105998600795
AT,Austria,2021-S2,SME,SME,A,All,0,P3,Access to finance,4.326572408509856,21.38218794873842,27.802320469137086
AT,Austria,2022-S1,SME,SME,A,All,0,P3,Access to finance,4.1996531709936376,19.893771899056915,25.734097673863353
AT,Austria,2022-S2,SME,SME,A,All,0,P3,Access to finance,4.154520711125114,18.49016569651449,23.83983176206521
AT,Austria,2023-S1,SME,SME,A,All,0,P3,Access to finance,4.284701371820213,20.53465097742309,27.203165186199353
AT,Austria,2023-S2,SME,SME,A,All,0,P3,Access to finance,4.33028831357382,22.65851323986204,29.421320438397714
AT,Austria,2024-S1,SME,SME,A,All,0,P3,Access to finance,4.70838864123657,24.50232920267324,29.871184005506212
AT,Austria,2024-S2,SME,SME,A,All,0,P3,Access to finance,4.328433009687316,22.29647258937876,27.238518188665473
AT,Austria,2025-S1,SME,SME,A,All,0,P3,Access to finance,4.019462214688853,17.513158081259125,23.622679489594027
BE,Belgium,2015-S1,SME,SME,A,All,0,P3,Access to finance,4.247443704545644,18.5572454780711,27.129553458138073
BE,Belgium,2015-S2,SME,SME,A,All,0,P3,Access to finance,4.369040656147973,22.43549084711977,30.13585366444356
BE,Belgium,2016-S1,SME,SME,A,All,0,P3,Access to finance,4.515547219827566,22.721245395774243,32.675394861231126
BE,Belgium,2016-S2,SME,SME,A,All,0,P3,Access to finance,4.320840841426732,20.446777111289183,30.659818520991696
BE,Belgium,2017-S1,SME,SME,A,All,0,P3,Access to finance,4.373381220936923,23.02533820562143,30.09298447887843
BE,Belgium,2017-S2,SME,SME,A,All,0,P3,Access to finance,4.193348197770896,20.08630747756022,27.51667120610202
BE,Belgium,2018-S1,SME,SME,A,All,0,P3,Access to finance,4.56955505630535,22.149236778032382,31.81591038391891
BE,Belgium,2018-S2,SME,SME,A,All,0,P3,Access to finance,4.294696085473179,18.150910418402024,26.756534845262735
BE,Belgium,2019-S1,SME,SME,A,All,0,P3,Access to finance,4.302056229005039,18.754893259762948,25.04329418671891
BE,Belgium,2019-S2,SME,SME,A,All,0,P3,Access to finance,4.085638147512881,16.83475334209577,24.860127436319402
BE,Belgium,2020-S1,SME,SME,A,All,0,P3,Access to finance,4.510358195452737,21.62744646388326,29.055797712261683
BE,Belgium,2020-S2,SME,SME,A,All,0,P3,Access to finance,4.288583999654041,20.839639528676994,27.5835500600745
BE,Belgium,2021-S1,SME,SME,A,All,0,P3,Access to finance,4.094750010903979,18.24209648001098,27.078052919355866
BE,Belgium,2021-S2,SME,SME,A,All,0,P3,Access to finance,4.24227940870286,19.301144289408505,27.65765302962975
BE,Belgium,2022-S1,SME,SME,A,All,0,P3,Access to finance,4.21512486688988,17.682299304469417,26.102611276656962
BE,Belgium,2022-S2,SME,SME,A,All,0,P3,Access to finance,4.068862709242975,17.78221539817694,26.36376340106222
BE,Belgium,2023-S1,SME,SME,A,All,0,P3,Access to finance,4.082041220327914,19.131740563071908,25.462338790456197
BE,Belgium,2023-S2,SME,SME,A,All,0,P3,Access to finance,3.895605610957138,17.260299646271882,22.439869438805434
BE,Belgium,2024-S1,SME,SME,A,All,0,P3,Access to finance,3.7448715221361355,18.94985545405309,24.432324440648806
BE,Belgium,2024-S2,SME,SME,A,All,0,P3,Access to finance,3.983034438897834,15.651704278741565,24.6413519147583
BE,Belgium,2025-S1,SME,SME,A,All,0,P3,Access to finance,4.000792982554384,16.65793352546244,23.522782498785027
DE,Germany,2015-S1,ALL,All,A,All,0,P3,Access to finance,4.3789206689807445,21.25497062207973,27.01358208190772
DE,Germany,2015-S1,ALL,All,A,All,1,P3,Access to finance,4.390962944072791,20.79841177627822,26.614662780243325
DE,Germany,2015-S1,ALL,All,A,All,2,P3,Access to finance,4.152488695933352,22.407791831827357,25.487839164899206
DE,Germany,2015-S1,ALL,All,A,All,3,P3,Access to finance,4.268275974946492,21.29965036667851,31.5362603458815
DE,Germany,2015-S1,ALL,All,A,All,4,P3,Access to finance,5.404110492246746,38.869118014633614,45.246848556678586
DE,Germany,2015-S1,ALL,All,A,All,9,P3,Access to finance,5.834036917258396,51.895203253677224,51.895203253677224
DE,Germany,2015-S1,ALL,All,C,Construction,0,P3,Access to finance,4.1500133075663665,23.177667445413206,25.96544814135574
DE,Germany,2015-S1,ALL,All,I,Industry,0,P3,Access to finance,4.392954290976811,20.418494603857265,24.800643958227457
DE,Germany,2015-S1,ALL,All,S,Services,0,P3,Access to finance,4.361439560782454,21.388538733555144,28.34685031762001
DE,Germany,2015-S1,ALL,All,T,Trade,0,P3,Access to finance,4.469441398372573,21.41143028865937,27.448472326656635
DE,Germany,2015-S1,LAR,Large,A,All,0,P3,Access to finance,4.2626755182928475,16.11260203239263,23.579105635141715
DE,Germany,2015-S1,MED,Medium,A,All,0,P3,Access to finance,4.45313279797861,22.825227803550177,27.778044713979465
DE,Germany,2015-S1,MIC,Micro,A,All,0,P3,Access to finance,4.289511149656775,26.25201892630621,28.673721304275656
