component,REF_AREA,FIRM_SIZE,FIRM_SECTOR,observations,first_period,last_period
access_finance_main_problem,AT,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,BE,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,DE,LAR,A,32,2009-S2,2025-S1
access_finance_main_problem,DE,MED,A,33,2009-S1,2025-S1
access_finance_main_problem,DE,MIC,A,33,2009-S1,2025-S1
access_finance_main_problem,DE,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,DE,SML,A,33,2009-S1,2025-S1
access_finance_main_problem,ES,LAR,A,32,2009-S2,2025-S1
access_finance_main_problem,ES,MED,A,33,2009-S1,2025-S1
access_finance_main_problem,ES,MIC,A,33,2009-S1,2025-S1
access_finance_main_problem,ES,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,ES,SML,A,33,2009-S1,2025-S1
access_finance_main_problem,FI,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,FR,LAR,A,32,2009-S2,2025-S1
access_finance_main_problem,FR,MED,A,33,2009-S1,2025-S1
access_finance_main_problem,FR,MIC,A,33,2009-S1,2025-S1
access_finance_main_problem,FR,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,FR,SML,A,33,2009-S1,2025-S1
access_finance_main_problem,GR,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,IE,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,IT,LAR,A,32,2009-S2,2025-S1
access_finance_main_problem,IT,MED,A,33,2009-S1,2025-S1
access_finance_main_problem,IT,MIC,A,33,2009-S1,2025-S1
access_finance_main_problem,IT,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,IT,SML,A,33,2009-S1,2025-S1
access_finance_main_problem,NL,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,PT,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,SK,SME,A,23,2014-S1,2025-S1
access_finance_main_problem,T2,LAR,A,32,2009-S2,2025-S1
access_finance_main_problem,T2,MED,A,33,2009-S1,2025-S1
access_finance_main_problem,T2,MIC,A,33,2009-S1,2025-S1
access_finance_main_problem,T2,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,T2,SML,A,33,2009-S1,2025-S1
access_finance_main_problem,U2,LAR,A,32,2009-S2,2025-S1
access_finance_main_problem,U2,LAR,C,32,2009-S2,2025-S1
access_finance_main_problem,U2,LAR,I,32,2009-S2,2025-S1
access_finance_main_problem,U2,LAR,S,32,2009-S2,2025-S1
access_finance_main_problem,U2,LAR,T,32,2009-S2,2025-S1
access_finance_main_problem,U2,MED,A,33,2009-S1,2025-S1
access_finance_main_problem,U2,MED,C,33,2009-S1,2025-S1
access_finance_main_problem,U2,MED,I,33,2009-S1,2025-S1
access_finance_main_problem,U2,MED,S,33,2009-S1,2025-S1
access_finance_main_problem,U2,MED,T,33,2009-S1,2025-S1
access_finance_main_problem,U2,MIC,A,33,2009-S1,2025-S1
access_finance_main_problem,U2,MIC,C,33,2009-S1,2025-S1
access_finance_main_problem,U2,MIC,I,33,2009-S1,2025-S1
access_finance_main_problem,U2,MIC,S,33,2009-S1,2025-S1
access_finance_main_problem,U2,MIC,T,33,2009-S1,2025-S1
access_finance_main_problem,U2,SME,A,33,2009-S1,2025-S1
access_finance_main_problem,U2,SME,C,33,2009-S1,2025-S1
access_finance_main_problem,U2,SME,I,33,2009-S1,2025-S1
access_finance_main_problem,U2,SME,S,33,2009-S1,2025-S1
access_finance_main_problem,U2,SME,T,33,2009-S1,2025-S1
access_finance_main_problem,U2,SML,A,33,2009-S1,2025-S1
access_finance_main_problem,U2,SML,C,33,2009-S1,2025-S1
access_finance_main_problem,U2,SML,I,33,2009-S1,2025-S1
access_finance_main_problem,U2,SML,S,33,2009-S1,2025-S1
access_finance_main_problem,U2,SML,T,33,2009-S1,2025-S1
bank_loan_cost_too_high,AT,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,BE,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,DE,LAR,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,DE,MED,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,DE,MIC,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,DE,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,DE,SML,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,ES,LAR,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,ES,MED,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,ES,MIC,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,ES,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,ES,SML,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,FI,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,FR,LAR,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,FR,MED,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,FR,MIC,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,FR,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,FR,SML,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,GR,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,IE,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,IT,LAR,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,IT,MED,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,IT,MIC,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,IT,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,IT,SML,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,NL,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,PT,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,SK,SME,A,23,2014-S1,2025-S1
bank_loan_cost_too_high,T2,LAR,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,T2,MED,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,T2,MIC,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,T2,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,T2,SML,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,LAR,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,LAR,C,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,LAR,I,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,LAR,S,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,LAR,T,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MED,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MED,C,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MED,I,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MED,S,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MED,T,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MIC,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MIC,C,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MIC,I,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MIC,S,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,MIC,T,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SME,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SME,C,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SME,I,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SME,S,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SME,T,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SML,A,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SML,C,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SML,I,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SML,S,33,2009-S1,2025-S1
bank_loan_cost_too_high,U2,SML,T,33,2009-S1,2025-S1
bank_loan_limited_amount,AT,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,BE,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,DE,LAR,A,31,2010-S1,2025-S1
bank_loan_limited_amount,DE,MED,A,31,2010-S1,2025-S1
bank_loan_limited_amount,DE,MIC,A,31,2010-S1,2025-S1
bank_loan_limited_amount,DE,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,DE,SML,A,31,2010-S1,2025-S1
bank_loan_limited_amount,ES,LAR,A,31,2010-S1,2025-S1
bank_loan_limited_amount,ES,MED,A,31,2010-S1,2025-S1
bank_loan_limited_amount,ES,MIC,A,31,2010-S1,2025-S1
bank_loan_limited_amount,ES,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,ES,SML,A,31,2010-S1,2025-S1
bank_loan_limited_amount,FI,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,FR,LAR,A,31,2010-S1,2025-S1
bank_loan_limited_amount,FR,MED,A,31,2010-S1,2025-S1
bank_loan_limited_amount,FR,MIC,A,31,2010-S1,2025-S1
bank_loan_limited_amount,FR,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,FR,SML,A,31,2010-S1,2025-S1
bank_loan_limited_amount,GR,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,IE,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,IT,LAR,A,31,2010-S1,2025-S1
bank_loan_limited_amount,IT,MED,A,31,2010-S1,2025-S1
bank_loan_limited_amount,IT,MIC,A,31,2010-S1,2025-S1
bank_loan_limited_amount,IT,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,IT,SML,A,31,2010-S1,2025-S1
bank_loan_limited_amount,NL,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,PT,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,SK,SME,A,23,2014-S1,2025-S1
bank_loan_limited_amount,T2,LAR,A,31,2010-S1,2025-S1
bank_loan_limited_amount,T2,MED,A,31,2010-S1,2025-S1
bank_loan_limited_amount,T2,MIC,A,31,2010-S1,2025-S1
bank_loan_limited_amount,T2,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,T2,SML,A,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,LAR,A,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,LAR,C,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,LAR,I,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,LAR,S,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,LAR,T,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MED,A,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MED,C,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MED,I,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MED,S,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MED,T,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MIC,A,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MIC,C,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MIC,I,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MIC,S,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,MIC,T,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SME,A,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SME,C,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SME,I,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SME,S,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SME,T,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SML,A,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SML,C,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SML,I,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SML,S,31,2010-S1,2025-S1
bank_loan_limited_amount,U2,SML,T,31,2010-S1,2025-S1
bank_loan_rejected,AT,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,BE,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,DE,LAR,A,33,2009-S1,2025-S1
bank_loan_rejected,DE,MED,A,33,2009-S1,2025-S1
bank_loan_rejected,DE,MIC,A,33,2009-S1,2025-S1
bank_loan_rejected,DE,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,DE,SML,A,33,2009-S1,2025-S1
bank_loan_rejected,ES,LAR,A,33,2009-S1,2025-S1
bank_loan_rejected,ES,MED,A,33,2009-S1,2025-S1
bank_loan_rejected,ES,MIC,A,33,2009-S1,2025-S1
bank_loan_rejected,ES,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,ES,SML,A,33,2009-S1,2025-S1
bank_loan_rejected,FI,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,FR,LAR,A,33,2009-S1,2025-S1
bank_loan_rejected,FR,MED,A,33,2009-S1,2025-S1
bank_loan_rejected,FR,MIC,A,33,2009-S1,2025-S1
bank_loan_rejected,FR,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,FR,SML,A,33,2009-S1,2025-S1
bank_loan_rejected,GR,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,IE,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,IT,LAR,A,33,2009-S1,2025-S1
bank_loan_rejected,IT,MED,A,33,2009-S1,2025-S1
bank_loan_rejected,IT,MIC,A,33,2009-S1,2025-S1
bank_loan_rejected,IT,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,IT,SML,A,33,2009-S1,2025-S1
bank_loan_rejected,NL,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,PT,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,SK,SME,A,23,2014-S1,2025-S1
bank_loan_rejected,T2,LAR,A,33,2009-S1,2025-S1
bank_loan_rejected,T2,MED,A,33,2009-S1,2025-S1
bank_loan_rejected,T2,MIC,A,33,2009-S1,2025-S1
bank_loan_rejected,T2,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,T2,SML,A,33,2009-S1,2025-S1
bank_loan_rejected,U2,LAR,A,33,2009-S1,2025-S1
bank_loan_rejected,U2,LAR,C,33,2009-S1,2025-S1
bank_loan_rejected,U2,LAR,I,33,2009-S1,2025-S1
bank_loan_rejected,U2,LAR,S,33,2009-S1,2025-S1
bank_loan_rejected,U2,LAR,T,33,2009-S1,2025-S1
bank_loan_rejected,U2,MED,A,33,2009-S1,2025-S1
bank_loan_rejected,U2,MED,C,33,2009-S1,2025-S1
bank_loan_rejected,U2,MED,I,33,2009-S1,2025-S1
bank_loan_rejected,U2,MED,S,33,2009-S1,2025-S1
bank_loan_rejected,U2,MED,T,33,2009-S1,2025-S1
bank_loan_rejected,U2,MIC,A,33,2009-S1,2025-S1
bank_loan_rejected,U2,MIC,C,33,2009-S1,2025-S1
bank_loan_rejected,U2,MIC,I,33,2009-S1,2025-S1
bank_loan_rejected,U2,MIC,S,33,2009-S1,2025-S1
bank_loan_rejected,U2,MIC,T,33,2009-S1,2025-S1
bank_loan_rejected,U2,SME,A,33,2009-S1,2025-S1
bank_loan_rejected,U2,SME,C,33,2009-S1,2025-S1
bank_loan_rejected,U2,SME,I,33,2009-S1,2025-S1
bank_loan_rejected,U2,SME,S,33,2009-S1,2025-S1
bank_loan_rejected,U2,SME,T,33,2009-S1,2025-S1
bank_loan_rejected,U2,SML,A,33,2009-S1,2025-S1
bank_loan_rejected,U2,SML,C,33,2009-S1,2025-S1
bank_loan_rejected,U2,SML,I,33,2009-S1,2025-S1
bank_loan_rejected,U2,SML,S,33,2009-S1,2025-S1
bank_loan_rejected,U2,SML,T,33,2009-S1,2025-S1
bank_willingness_deteriorated,AT,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,BE,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,DE,LAR,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,DE,MED,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,DE,MIC,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,DE,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,DE,SML,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,ES,LAR,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,ES,MED,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,ES,MIC,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,ES,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,ES,SML,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,FI,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,FR,LAR,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,FR,MED,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,FR,MIC,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,FR,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,FR,SML,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,GR,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,IE,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,IT,LAR,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,IT,MED,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,IT,MIC,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,IT,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,IT,SML,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,NL,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,PT,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,SK,SME,A,23,2014-S1,2025-S1
bank_willingness_deteriorated,T2,LAR,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,T2,MED,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,T2,MIC,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,T2,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,T2,SML,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,LAR,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,LAR,C,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,LAR,I,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,LAR,S,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,LAR,T,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MED,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MED,C,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MED,I,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MED,S,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MED,T,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MIC,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MIC,C,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MIC,I,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MIC,S,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,MIC,T,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SME,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SME,C,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SME,I,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SME,S,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SME,T,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SML,A,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SML,C,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SML,I,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SML,S,33,2009-S1,2025-S1
bank_willingness_deteriorated,U2,SML,T,33,2009-S1,2025-S1
interest_rates_increased,AT,SME,A,33,2009-S1,2025-S1
interest_rates_increased,BE,SME,A,33,2009-S1,2025-S1
interest_rates_increased,DE,LAR,A,33,2009-S1,2025-S1
interest_rates_increased,DE,MED,A,33,2009-S1,2025-S1
interest_rates_increased,DE,MIC,A,33,2009-S1,2025-S1
interest_rates_increased,DE,SME,A,33,2009-S1,2025-S1
interest_rates_increased,DE,SML,A,33,2009-S1,2025-S1
interest_rates_increased,ES,LAR,A,33,2009-S1,2025-S1
interest_rates_increased,ES,MED,A,33,2009-S1,2025-S1
interest_rates_increased,ES,MIC,A,33,2009-S1,2025-S1
interest_rates_increased,ES,SME,A,33,2009-S1,2025-S1
interest_rates_increased,ES,SML,A,33,2009-S1,2025-S1
interest_rates_increased,FI,SME,A,33,2009-S1,2025-S1
interest_rates_increased,FR,LAR,A,33,2009-S1,2025-S1
interest_rates_increased,FR,MED,A,33,2009-S1,2025-S1
interest_rates_increased,FR,MIC,A,33,2009-S1,2025-S1
interest_rates_increased,FR,SME,A,33,2009-S1,2025-S1
interest_rates_increased,FR,SML,A,33,2009-S1,2025-S1
interest_rates_increased,GR,SME,A,33,2009-S1,2025-S1
interest_rates_increased,IE,SME,A,33,2009-S1,2025-S1
