REF_AREA,country_name,TIME_PERIOD,origin_period_sort,forecast_target_period,risk_tier,risk_score,confidence,agreement_quality,signal_type,current_score,gap_value,best_model_label,best_model_forecast,best_model_delta,actual_next_score,actual_delta,forecast_abs_error,forecast_hit_direction,realized_direction,forecast_direction,ml_median_forecast,ml_min_forecast,ml_max_forecast,forecast_range,ml_model_agreement_rising,ml_model_count,components_available,availability_pressure_z,cost_pressure_z,salience_pressure_z,primary_drivers,recommended_read
NL,Netherlands,2013-S1,20131,2013-S2,Alert,7.0,High,High,High pressure + rising forecast,1.7550975180636217,2.304055625017176,Ridge,2.0408802304650804,0.2857827124014587,1.482100861187252,-0.27299665687636976,0.5587793692778285,0.0,Easing,Rising,2.0429406146725495,1.6250402589933606,2.1148910840660338,0.4898508250726732,0.75,4,6,1.8532288144513842,0.330701581405816,1.1170067262274348,Bank loan rejection pressure; SME-FPI is high relative to CISS; Bank willingness deteriorated,Immediate watchlist: inspect drivers and compare with local SME policy context.
ES,Spain,2013-S1,20131,2013-S2,Alert,7.0,High,High,High pressure + rising forecast,1.6802751213858915,2.229233228339446,Ridge,1.7861743730161979,0.10589925163030633,0.8510032971538357,-0.8292718242320558,0.9351710758623621,0.0,Easing,Rising,1.6927491010267621,1.5820619148697954,1.7861743730161979,0.20411245814640244,0.75,4,6,1.3045364274548552,0.6943053936045441,1.724312732673885,SME-FPI is high relative to CISS; Finance salience; Access to finance is the main problem,Immediate watchlist: inspect drivers and compare with local SME policy context.
IT,Italy,2013-S1,20131,2013-S2,Alert,7.0,High,High,High pressure + rising forecast,1.351302895824796,1.9002610027783504,Ridge,1.4896430455188225,0.13834014969402664,1.1642384587556378,-0.1870644370691581,0.32540458676318473,0.0,Easing,Rising,1.517683732931956,1.4543031686010224,1.5502285682729158,0.0959253996718934,1.0,4,6,1.3870978958772195,0.2568415984332415,0.9817020709505748,SME-FPI is high relative to CISS; Bank willingness deteriorated; Limited loan amount,Immediate watchlist: inspect drivers and compare with local SME policy context.
GR,Greece,2013-S1,20131,2013-S2,Alert,6.5,Low,Low,Visible or hidden high pressure,2.552964118381245,3.1019222253348,Ridge,2.6308257095655883,0.07786159118434322,2.3653438177810173,-0.18762030060022772,0.26548189178457093,0.0,Easing,Rising,2.5454348564042606,2.4016023196889322,2.706833916420414,0.3052315967314816,0.5,4,6,2.1486642596916847,0.5186146438443965,3.1772235302617915,SME-FPI is high relative to CISS; Finance salience; Access to finance is the main problem,Immediate watchlist: inspect drivers and compare with local SME policy context.
IE,Ireland,2013-S1,20131,2013-S2,Alert,6.0,High,High,High pressure + rising forecast,0.7390320096330658,1.2879901165866203,Ridge,1.0067000252727731,0.2676680156397073,1.6669186263202451,0.9278866166871793,0.660218601047472,1.0,Rising,Rising,0.9420057146609333,0.8183535515104556,1.0067000252727731,0.1883464737623175,1.0,4,6,0.29653930494409775,0.5024971035620311,1.212545738505875,Small-loan spread pressure; SME-FPI is high relative to CISS; Finance salience,Immediate watchlist: inspect drivers and compare with local SME policy context.
PT,Portugal,2013-S1,20131,2013-S2,Watch,4.5,Low,Low,Visible or hidden high pressure,0.6710488013535709,1.2200069083071254,Ridge,0.663691466638047,-0.007357334715523911,0.8788021686400442,0.2077533672864733,0.21511070200199722,0.0,Rising,Easing,0.77797509176542,0.5155387406509959,1.2189568912043913,0.7034181505533954,0.5,4,6,0.5338276236232894,0.0009686969172074678,1.220652726752505,MIR small-loan rate pressure; SME-FPI is high relative to CISS; Finance salience,Watch closely: pressure is visible or forecast to rise.
FI,Finland,2013-S1,20131,2013-S2,Watch,3.0,High,High,High pressure + rising forecast,0.096600671920899,0.6455587788744536,Ridge,0.3585271825187506,0.2619265105978516,-0.2539184473420139,-0.3505191192629129,0.6124456298607646,0.0,Easing,Rising,0.3219078326925884,0.22893340907926216,0.40549375009237043,0.17656034101310827,1.0,4,6,-0.049924978990807646,0.21354438874169923,0.1547335671823851,BLS credit standards tightening; SME-FPI is high relative to CISS; Interest rates increased,Watch closely: pressure is visible or forecast to rise.
BE,Belgium,2013-S1,20131,2013-S2,Watch,3.0,High,High,High pressure + rising forecast,0.0962174543490214,0.6451755613025759,Ridge,0.34511585153901925,0.24889839718999784,-0.1053482598920102,-0.2015657142410316,0.45046411143102943,0.0,Easing,Rising,0.2128171301385936,-0.03956515779548058,0.34511585153901925,0.38468100933449983,0.75,4,6,0.39843791162039305,-0.37556567922343964,-0.0137307024157891,Bank willingness deteriorated; SME-FPI is high relative to CISS; Best recent ML model expects rising H+1 pressure,Watch closely: pressure is visible or forecast to rise.
FR,France,2013-S1,20131,2013-S2,Watch,3.0,High,High,High pressure + rising forecast,0.0464241096923593,0.5953822166459138,Ridge,0.17194822078758765,0.12552411109522835,0.1758740157340614,0.1294499060417021,0.003925794946473743,1.0,Rising,Rising,0.1387031974586734,0.015973308262702615,0.17194822078758765,0.15597491252488505,0.75,4,6,0.36530020457593987,-0.5860730417928763,0.299355613407879,Bank willingness deteriorated; SME-FPI is high relative to CISS; Best recent ML model expects rising H+1 pressure,Watch closely: pressure is visible or forecast to rise.
AT,Austria,2013-S1,20131,2013-S2,Monitor,2.0,High,High,Rising-forecast monitor,-0.566816698173081,-0.0178585912195264,Ridge,-0.35279902224058457,0.21401767593249643,-0.4362998781128153,0.13051682006026571,0.08350085587223072,1.0,Rising,Rising,-0.4255210594699842,-0.5992902739784911,-0.35279902224058457,0.24649125173790654,0.75,4,6,-0.17100642280795267,-0.6146441338996057,-0.5881422088640879,Best recent ML model expects rising H+1 pressure; BLS credit standards tightening; Limited loan amount,Monitor: at least one warning signal is present; check its signal type.
