REF_AREA,country_name,TIME_PERIOD,origin_period_sort,forecast_target_period,risk_tier,risk_score,confidence,current_score,gap_value,best_model_label,best_model_forecast,best_model_delta,actual_next_score,actual_delta,forecast_abs_error,forecast_hit_direction,realized_direction,forecast_direction,ml_median_forecast,ml_min_forecast,ml_max_forecast,forecast_range,ml_model_agreement_rising,ml_model_count,components_available,primary_drivers,recommended_read
GR,Greece,2025-S1,20251,2025-S2,Monitor,2.5,High,0.3495070044790835,1.0790361688300043,Ridge,0.13231400609549257,-0.21719299838359094,,,,,,Easing,0.1115911467619686,-0.04292469273292238,0.13231400609549257,0.17523869882841495,0.0,4,6,SAFE cube access-finance severity; SME-FPI is high relative to CISS; Small-loan spread pressure,Monitor: at least one warning signal is present.
FI,Finland,2025-S1,20251,2025-S2,Monitor,2.0,High,0.240892676928369,0.97042184127929,Ridge,-0.013391523392485278,-0.25428420032085425,,,,,,Easing,0.013379972871976047,-0.08102666330389321,0.0439937482609641,0.12502041156485733,0.0,4,6,Limited loan amount; SME-FPI is high relative to CISS; Small-loan spread pressure,Monitor: at least one warning signal is present.
FR,France,2025-S1,20251,2025-S2,Monitor,2.0,High,-0.7181964704365288,0.011332693914392,Ridge,-0.5519175246214645,0.1662789458150643,,,,,,Rising,-0.5245290322387843,-0.5576053147393608,-0.4666022262940193,0.0910030884453415,1.0,4,6,Best recent ML model expects rising H+1 pressure; Interest rates increased; BLS terms and conditions pressure,Monitor: at least one warning signal is present.
DE,Germany,2025-S1,20251,2025-S2,Monitor,2.0,High,-0.8002455257653662,-0.0707163614144453,Ridge,-0.6888255443449248,0.1114199814204414,,,,,,Rising,-0.6476982716912374,-0.6888255443449248,-0.5986993875834234,0.09012615676150137,1.0,4,6,BLS terms and conditions pressure; Small-loan spread pressure; Broad SAFE problem pressure,Monitor: at least one warning signal is present.
BE,Belgium,2025-S1,20251,2025-S2,Monitor,2.0,High,-0.9178238262166172,-0.1882946618656963,Ridge,-0.6823826662532548,0.23544115996336235,,,,,,Rising,-0.6610803724612255,-0.7466458893731982,-0.5811301119860266,0.1655157773871716,1.0,4,6,BLS credit standards tightening; Best recent ML model expects rising H+1 pressure; BLS terms and conditions pressure,Monitor: at least one warning signal is present.
IE,Ireland,2025-S1,20251,2025-S2,Monitor,1.5,High,0.0483063588094693,0.7778355231603902,Ridge,-0.4762332977528106,-0.5245396565622799,,,,,,Easing,-0.4161130001341384,-0.4762332977528106,-0.21340760767662512,0.2628256900761855,0.0,4,6,Limited loan amount; MIR small-loan rate pressure; SME-FPI is high relative to CISS,Monitor: at least one warning signal is present.
NL,Netherlands,2025-S1,20251,2025-S2,Normal,1.0,High,-0.3409222864929542,0.3886068778579666,Ridge,-0.5342347258165909,-0.19331243932363673,,,,,,Easing,-0.5271597398432386,-0.6131978024143021,-0.4797416688444035,0.1334561335698986,0.0,4,6,Loan cost too high; SME-FPI is high relative to CISS; Small-loan spread pressure,Normal: no major warning signal in the current diagnostic rules.
SK,Slovakia,2025-S1,20251,2025-S2,Normal,1.0,High,-0.4919635552841856,0.2375656090667351,Ridge,-0.4143456331563726,0.07761792212781304,,,,,,Rising,-0.4324512607968173,-0.607280922910402,-0.4052171442820095,0.20206377862839253,0.75,4,6,Bank loan rejection pressure; MIR small-loan rate pressure; SAFE cube access-finance severity,Normal: no major warning signal in the current diagnostic rules.
ES,Spain,2025-S1,20251,2025-S2,Normal,1.0,High,-0.6855213202587614,0.0440078440921594,Ridge,-0.6912481607889639,-0.005726840530202448,,,,,,Easing,-0.6727798630828191,-0.6912481607889639,-0.6036871949664142,0.08756096582254969,0.75,4,6,Broad SAFE problem pressure; SAFE cube access-finance severity; Limited loan amount,Normal: no major warning signal in the current diagnostic rules.
PT,Portugal,2025-S1,20251,2025-S2,Normal,1.0,High,-0.8594894520296378,-0.1299602876787169,Ridge,-0.7986873070911217,0.0608021449385161,,,,,,Rising,-0.7353071956450483,-0.7986873070911217,-0.6492285475756967,0.14945875951542498,1.0,4,6,Broad SAFE problem pressure; SAFE cube access-finance severity; BLS credit standards tightening,Normal: no major warning signal in the current diagnostic rules.
AT,Austria,2025-S1,20251,2025-S2,Normal,1.0,High,-0.913588869745282,-0.1840597053943611,Ridge,-0.8463471464437666,0.06724172330151534,,,,,,Rising,-0.7210011919055618,-0.8463471464437666,-0.6549564403112789,0.19139070613248776,1.0,4,6,BLS credit standards tightening; BLS terms and conditions pressure; Limited loan amount,Normal: no major warning signal in the current diagnostic rules.
IT,Italy,2025-S1,20251,2025-S2,Normal,0.5,Low,-0.7909865340128127,-0.0614573696618918,Ridge,-0.9350551109879397,-0.14406857697512698,,,,,,Easing,-0.7901898446224572,-0.9350551109879397,-0.7400472868242195,0.1950078241637202,0.5,4,6,Small-loan spread pressure; SAFE cube access-finance severity; Broad SAFE problem pressure,Normal: no major warning signal in the current diagnostic rules.
