REF_AREA,country_name,model_key,model_label,model_family,n_origins,mean_abs_error,rmse,bias,direction_hit_share,mean_predicted_delta,mean_actual_delta
FR,France,naive,Naive current value,baseline,24,0.20946602481266044,0.26782420563249426,0.03185919083870367,0.0,0.0,-0.03185919083870367
DE,Germany,naive,Naive current value,baseline,24,0.21511911843797238,0.28954731721505855,-0.017656538252627873,0.0,0.0,0.017656538252627873
FR,France,pooled_lag_ols,Pooled lag OLS,baseline,24,0.22540215222042526,0.2810393866697543,-0.03055342290774063,0.5,-0.0624126137464443,-0.03185919083870367
DE,Germany,country_ar1,Country AR(1),baseline,24,0.2285833075291698,0.28296503928539585,-0.05376629576887332,0.375,-0.03610975751624545,0.017656538252627873
FR,France,country_ar1,Country AR(1),baseline,24,0.23983572235779035,0.29911613361566525,0.09488985157627845,0.5,0.06303066073757478,-0.03185919083870367
DE,Germany,pooled_lag_ols,Pooled lag OLS,baseline,24,0.24816163624428658,0.31123144029666944,-0.1287061926127781,0.5833333333333334,-0.11104965436015024,0.017656538252627873
AT,Austria,pooled_lag_ols,Pooled lag OLS,baseline,24,0.257899018460397,0.3214051134522662,-0.08092644228691374,0.5833333333333334,-0.09537528276908878,-0.01444884048217504
AT,Austria,naive,Naive current value,baseline,24,0.2670263755085187,0.3232541330924994,0.01444884048217504,0.0,0.0,-0.01444884048217504
IT,Italy,naive,Naive current value,baseline,24,0.2766325779916607,0.34149557644420886,0.08926205957656702,0.0,0.0,-0.08926205957656702
FR,France,momentum,Last-change extrapolation,baseline,24,0.280264053933119,0.3688776581729526,0.027057072197944815,0.375,-0.004802118640758856,-0.03185919083870367
ES,Spain,naive,Naive current value,baseline,24,0.28334908238999407,0.4168589508699,0.09857485173519387,0.0,0.0,-0.09857485173519387
PT,Portugal,naive,Naive current value,baseline,24,0.2845868794271396,0.3477138714282915,0.06377242722430036,0.0,0.0,-0.06377242722430036
BE,Belgium,pooled_lag_ols,Pooled lag OLS,baseline,24,0.286212158570362,0.359046705388614,-0.0005586441136367359,0.5833333333333334,-0.042810364137205015,-0.04225172002356828
BE,Belgium,naive,Naive current value,baseline,24,0.2887127889394782,0.36221686231148503,0.04225172002356828,0.0,0.0,-0.04225172002356828
BE,Belgium,country_ar1,Country AR(1),baseline,24,0.3025561933649741,0.37267851054387785,0.0708430223277255,0.625,0.028591302304157237,-0.04225172002356828
PT,Portugal,pooled_lag_ols,Pooled lag OLS,baseline,24,0.31635517789009837,0.4202159926956143,0.20085257906258214,0.625,0.1370801518382818,-0.06377242722430036
AT,Austria,country_ar1,Country AR(1),baseline,24,0.3182899789001233,0.363955348320569,0.10936467941289663,0.4583333333333333,0.0949158389307216,-0.01444884048217504
IT,Italy,country_ar1,Country AR(1),baseline,24,0.3204807695231942,0.38899376446777845,0.1448887736036337,0.375,0.055626714027066655,-0.08926205957656702
ES,Spain,country_ar1,Country AR(1),baseline,24,0.3250844785960527,0.5117712239326324,0.07188403677564223,0.4583333333333333,-0.02669081495955165,-0.09857485173519387
DE,Germany,country_mean,Country historical mean,baseline,24,0.33073672394464443,0.3978864930113707,0.06513716086488054,0.5,0.0827936991175084,0.017656538252627873
IT,Italy,pooled_lag_ols,Pooled lag OLS,baseline,24,0.3370998046405183,0.39633478888500806,0.16696026541366674,0.5,0.07769820583709973,-0.08926205957656702
FI,Finland,pooled_lag_ols,Pooled lag OLS,baseline,24,0.3429774296052413,0.4732947239288672,-0.15549407751603944,0.5833333333333334,-0.1494819106407282,0.006012166875311243
FI,Finland,naive,Naive current value,baseline,24,0.3490519296712075,0.4857621609530129,-0.006012166875311243,0.0,0.0,0.006012166875311243
NL,Netherlands,naive,Naive current value,baseline,24,0.3654901149687677,0.4753083437536304,0.08733415852319065,0.0,0.0,-0.08733415852319065
PT,Portugal,country_ar1,Country AR(1),baseline,24,0.36844131557960264,0.47016380348355125,0.23238613230469352,0.4166666666666667,0.16861370508039317,-0.06377242722430036
SK,Slovakia,pooled_lag_ols,Pooled lag OLS,baseline,22,0.3696609643512654,0.42889803858433007,-0.058509145403891294,0.6363636363636364,-0.06105633851330414,-0.0025471931094128357
DE,Germany,momentum,Last-change extrapolation,baseline,24,0.37085002538128026,0.4428893632195349,0.006402185863448641,0.5,0.024058724116076503,0.017656538252627873
PT,Portugal,momentum,Last-change extrapolation,baseline,24,0.3730655236017435,0.45365245837271706,-0.025167021262110126,0.5833333333333334,-0.0889394484864105,-0.06377242722430036
NL,Netherlands,pooled_lag_ols,Pooled lag OLS,baseline,24,0.3745279121365847,0.4705962074872471,0.10715161143760499,0.625,0.019817452914414335,-0.08733415852319065
AT,Austria,momentum,Last-change extrapolation,baseline,24,0.38275245456963325,0.47753600891656633,0.009641903701903765,0.4166666666666667,-0.00480693678027128,-0.01444884048217504
ES,Spain,momentum,Last-change extrapolation,baseline,24,0.39884819886591555,0.5305568320170553,-0.03377834622187157,0.5833333333333334,-0.13235319795706543,-0.09857485173519387
FI,Finland,country_ar1,Country AR(1),baseline,24,0.4018308828175916,0.47181193515821346,-0.08163930218906083,0.6666666666666666,-0.0756271353137496,0.006012166875311243
BE,Belgium,momentum,Last-change extrapolation,baseline,24,0.4030013214927308,0.5567905050602218,0.027475031824638636,0.5,-0.014776688198929638,-0.04225172002356828
IT,Italy,momentum,Last-change extrapolation,baseline,24,0.4043257093920177,0.4768070304785088,-0.020214476881849918,0.4583333333333333,-0.10947653645841694,-0.08926205957656702
SK,Slovakia,naive,Naive current value,baseline,22,0.4046754901731816,0.49022087165630884,0.0025471931094128357,0.0,0.0,-0.0025471931094128357
ES,Spain,pooled_lag_ols,Pooled lag OLS,baseline,24,0.43106051753588615,0.5791296483906154,0.26631118687491506,0.3333333333333333,0.16773633513972117,-0.09857485173519387
AT,Austria,country_mean,Country historical mean,baseline,24,0.43363200664148827,0.5156949116983403,0.14933714620611857,0.4583333333333333,0.13488830572394353,-0.01444884048217504
IE,Ireland,pooled_lag_ols,Pooled lag OLS,baseline,24,0.4365717973575154,0.5332226957659478,0.19723258325414852,0.5416666666666666,0.16845234780316534,-0.02878023545098318
SK,Slovakia,country_ar1,Country AR(1),baseline,22,0.4415477024041237,0.5578298144068728,-0.0934034660285601,0.5909090909090909,-0.09595065913797295,-0.0025471931094128357
IE,Ireland,naive,Naive current value,baseline,24,0.445939875350889,0.5274018668863372,0.02878023545098318,0.0,0.0,-0.02878023545098318
