origin_period_sort,origin_period,model_key,model_label,n_test,mae,rmse,features_used,model_family,mae_improvement_vs_naive,mae_improvement_vs_strongest_baseline,beats_naive,beats_strongest_baseline
20131,2013-S1,naive,Naive current value,11,0.3334131622275432,0.425636761310492,1,baseline,0.0,-0.10397728494758945,False,False
20131,2013-S1,country_mean,Country historical mean,11,0.34228003004364266,0.5401127779733315,1,baseline,-0.008866867816099466,-0.11284415276368892,False,False
20131,2013-S1,country_ar1,Country AR(1),11,0.322528252462619,0.5216391311919514,1,baseline,0.010884909764924178,-0.09309237518266528,True,False
20131,2013-S1,momentum,Last-change extrapolation,11,0.4109160338322217,0.7008242619788478,1,baseline,-0.0775028716046785,-0.18148015655226796,False,False
20131,2013-S1,pooled_lag_ols,Pooled lag OLS,11,0.22943587727995374,0.37331474806046644,20,baseline,0.10397728494758945,0.0,True,False
20131,2013-S1,elastic_net,Elastic Net,11,0.3810231057715077,0.4775732474435182,130,machine learning,-0.04760994354396453,-0.15158722849155398,False,False
20131,2013-S1,ridge,Ridge,11,0.38813817242912946,0.4793193965767019,130,machine learning,-0.054725010201586266,-0.15870229514917572,False,False
20131,2013-S1,random_forest,Random Forest,11,0.3330918227530557,0.4129701881924572,130,machine learning,0.0003213394744874809,-0.10365594547310197,True,False
20131,2013-S1,gradient_boosting,Gradient Boosting,11,0.29955611707223806,0.40193255300818187,130,machine learning,0.03385704515530513,-0.07012023979228432,True,False
20132,2013-S2,naive,Naive current value,11,0.39645325907312423,0.47980424094188573,1,baseline,0.0,-0.009721982322069112,False,False
20132,2013-S2,country_mean,Country historical mean,11,0.4789840179284372,0.6103541560438192,1,baseline,-0.08253075885531297,-0.09225274117738208,False,False
20132,2013-S2,country_ar1,Country AR(1),11,0.40977894933516873,0.5175583919972483,1,baseline,-0.013325690262044498,-0.02304767258411361,False,False
20132,2013-S2,momentum,Last-change extrapolation,11,0.649054469230371,0.7742359792924218,1,baseline,-0.2526012101572468,-0.2623231924793159,False,False
20132,2013-S2,pooled_lag_ols,Pooled lag OLS,11,0.3867312767510551,0.470866351541642,20,baseline,0.009721982322069112,0.0,True,False
20132,2013-S2,elastic_net,Elastic Net,11,0.33177216492695666,0.4110790348178472,130,machine learning,0.06468109414616757,0.05495911182409846,True,True
20132,2013-S2,ridge,Ridge,11,0.30437688883500347,0.3832104875415277,130,machine learning,0.09207637023812076,0.08235438791605165,True,True
20132,2013-S2,random_forest,Random Forest,11,0.41133630718132347,0.49594683103146103,130,machine learning,-0.014883048108199237,-0.02460503043026835,False,False
20132,2013-S2,gradient_boosting,Gradient Boosting,11,0.3661100049200181,0.43738056581020435,130,machine learning,0.030343254153106125,0.020621271831037014,True,True
20141,2014-S1,naive,Naive current value,12,0.6012192625109695,0.6781365433411639,1,baseline,0.0,0.0,False,False
20141,2014-S1,country_mean,Country historical mean,12,0.8645543815683837,1.0573608925919398,1,baseline,-0.26333511905741425,-0.26333511905741425,False,False
20141,2014-S1,country_ar1,Country AR(1),12,0.7178593341224375,0.8498973785522332,1,baseline,-0.11664007161146805,-0.11664007161146805,False,False
20141,2014-S1,momentum,Last-change extrapolation,12,0.6923210179069366,0.8313991168042489,1,baseline,-0.0911017553959671,-0.0911017553959671,False,False
20141,2014-S1,pooled_lag_ols,Pooled lag OLS,12,0.6389107519824483,0.752377380528701,20,baseline,-0.03769148947147882,-0.03769148947147882,False,False
20141,2014-S1,elastic_net,Elastic Net,12,0.5531694219408617,0.6189386596668077,130,machine learning,0.04804984057010775,0.04804984057010775,True,True
20141,2014-S1,ridge,Ridge,12,0.5410966261785688,0.6040828138796406,130,machine learning,0.06012263633240067,0.06012263633240067,True,True
