REF_AREA,country_name,TIME_PERIOD,FIRM_SIZE,firm_size_label,FIRM_SECTOR,sector_label,FIRM_AGE,SAFE_ITEM,problem,severity_score_1_10,top_box_share_8_10,high_pressure_share_7_10
AT,Austria,2015-S1,SME,SME,A,All,0,N8,Other,8.352426516653606,75.92005439209431,84.39662108647128
AT,Austria,2015-S1,SME,SME,A,All,0,P1,Finding customers,7.5670826545035546,64.3275811899383,70.68915782924849
AT,Austria,2015-S1,SME,SME,A,All,0,P2,Competition,6.428596773726642,39.63210668317151,52.313992669957784
AT,Austria,2015-S1,SME,SME,A,All,0,P3,Access to finance,4.662233650471417,26.083703929055226,30.999522393866265
AT,Austria,2015-S1,SME,SME,A,All,0,P4,Production/labour costs,6.710979734827144,46.64511579094036,58.00893030661701
AT,Austria,2015-S1,SME,SME,A,All,0,P5,Skilled staff,7.090133345804753,54.93753132336181,67.82365089068814
AT,Austria,2015-S1,SME,SME,A,All,0,P6,Regulation,5.9208013242690205,35.53881432443172,45.43100002105681
AT,Austria,2015-S2,SME,SME,A,All,0,N8,Other,7.7456086179672,67.11761284958895,71.85685012797389
AT,Austria,2015-S2,SME,SME,A,All,0,P1,Finding customers,7.619766664065508,64.80819834415698,71.97153746413325
AT,Austria,2015-S2,SME,SME,A,All,0,P2,Competition,6.615386231780995,44.17645892966722,56.84809225646759
AT,Austria,2015-S2,SME,SME,A,All,0,P3,Access to finance,4.3003956535251495,21.99222768865431,27.005593955405388
AT,Austria,2015-S2,SME,SME,A,All,0,P4,Production/labour costs,6.692049219459214,46.58223681003732,59.07538445641275
AT,Austria,2015-S2,SME,SME,A,All,0,P5,Skilled staff,7.15223572331952,56.732130653302484,65.62908415650344
AT,Austria,2015-S2,SME,SME,A,All,0,P6,Regulation,6.102537649021623,39.07521489445628,48.05464395664359
AT,Austria,2016-S1,SME,SME,A,All,0,N8,Other,7.9403508470891335,64.8834480048148,79.51719141244438
AT,Austria,2016-S1,SME,SME,A,All,0,P1,Finding customers,7.751426105327254,65.49142785738914,73.9043739133717
AT,Austria,2016-S1,SME,SME,A,All,0,P2,Competition,6.65281024656613,43.962208185796555,54.66101296553414
AT,Austria,2016-S1,SME,SME,A,All,0,P3,Access to finance,4.369402636860195,21.90766691143616,26.1295124256871
AT,Austria,2016-S1,SME,SME,A,All,0,P4,Production/labour costs,6.479706220787143,42.177325747914466,55.84082780355494
AT,Austria,2016-S1,SME,SME,A,All,0,P5,Skilled staff,7.249121317920871,59.02313753477295,70.32991811224427
AT,Austria,2016-S1,SME,SME,A,All,0,P6,Regulation,5.94454937878522,35.452759347354224,44.88039330917473
AT,Austria,2016-S2,SME,SME,A,All,0,N8,Other,8.21745432306071,77.15674399505914,82.5661277515045
AT,Austria,2016-S2,SME,SME,A,All,0,P1,Finding customers,7.461487612144589,61.49122400143558,67.88598340205135
AT,Austria,2016-S2,SME,SME,A,All,0,P2,Competition,6.463103883045596,41.301011530441684,55.11719100485958
AT,Austria,2016-S2,SME,SME,A,All,0,P3,Access to finance,4.273094636433681,19.23108038259878,25.984945035282692
AT,Austria,2016-S2,SME,SME,A,All,0,P4,Production/labour costs,6.559328112984702,43.48401859437253,57.04787101920186
AT,Austria,2016-S2,SME,SME,A,All,0,P5,Skilled staff,7.2307600975315705,60.67025423072979,70.87754700026791
AT,Austria,2016-S2,SME,SME,A,All,0,P6,Regulation,6.124444660662787,37.25870873472884,46.83661360749106
AT,Austria,2017-S1,SME,SME,A,All,0,N8,Other,8.527850922397015,82.2341867627864,89.48862305654688
AT,Austria,2017-S1,SME,SME,A,All,0,P1,Finding customers,7.49371495741619,64.65004975798155,70.30216027534934
AT,Austria,2017-S1,SME,SME,A,All,0,P2,Competition,6.385448938263293,40.64426429294174,52.26326902476518
AT,Austria,2017-S1,SME,SME,A,All,0,P3,Access to finance,4.376168093712902,21.66774760547986,26.84606251582544
AT,Austria,2017-S1,SME,SME,A,All,0,P4,Production/labour costs,6.5960668357563685,45.01868166343306,58.226345669440214
AT,Austria,2017-S1,SME,SME,A,All,0,P5,Skilled staff,7.647882852554362,65.11687479420888,74.33824800941998
AT,Austria,2017-S1,SME,SME,A,All,0,P6,Regulation,6.133002209792945,37.294671804506116,49.752491350617504
AT,Austria,2017-S2,SME,SME,A,All,0,N8,Other,8.20694736318988,76.09615637047908,84.37476279004619
AT,Austria,2017-S2,SME,SME,A,All,0,P1,Finding customers,7.661260332314715,63.05120681838423,72.6295391864373
AT,Austria,2017-S2,SME,SME,A,All,0,P2,Competition,6.321226856384342,38.19494418574468,52.629188161410234
AT,Austria,2017-S2,SME,SME,A,All,0,P3,Access to finance,4.460546906146324,22.22900978811815,28.85439558452224
AT,Austria,2017-S2,SME,SME,A,All,0,P4,Production/labour costs,6.577166407916333,44.72471816503177,58.67733218038311
AT,Austria,2017-S2,SME,SME,A,All,0,P5,Skilled staff,7.780921019910849,67.65635723468083,77.67446692918122
AT,Austria,2017-S2,SME,SME,A,All,0,P6,Regulation,6.310980611288982,41.29410815436746,52.56828727729415
AT,Austria,2018-S1,SME,SME,A,All,0,N8,Other,7.951466071606419,68.54368546851222,81.16469069417076
AT,Austria,2018-S1,SME,SME,A,All,0,P1,Finding customers,7.007673860306956,56.769726270789064,62.6218595048744
AT,Austria,2018-S1,SME,SME,A,All,0,P2,Competition,6.106796304104967,35.11106523579585,48.340283755741176
AT,Austria,2018-S1,SME,SME,A,All,0,P3,Access to finance,4.194169507006271,18.98297410861312,24.908453116010534
AT,Austria,2018-S1,SME,SME,A,All,0,P4,Production/labour costs,6.291334299744808,37.36132693938797,51.30728596387024
AT,Austria,2018-S1,SME,SME,A,All,0,P5,Skilled staff,7.690958382708538,68.34693395053358,78.07057434404004
AT,Austria,2018-S1,SME,SME,A,All,0,P6,Regulation,6.361745504345942,42.22723710466197,51.47211732602657
AT,Austria,2018-S2,SME,SME,A,All,0,N8,Other,8.638853455607924,83.75008284471492,88.49914485008986
AT,Austria,2018-S2,SME,SME,A,All,0,P1,Finding customers,7.174107391971977,56.77193653775133,65.10323884391846
AT,Austria,2018-S2,SME,SME,A,All,0,P2,Competition,6.052273840274598,33.735705623199394,46.96012563220706
AT,Austria,2018-S2,SME,SME,A,All,0,P3,Access to finance,4.073364240083888,18.470118889328024,23.673112242321796
AT,Austria,2018-S2,SME,SME,A,All,0,P4,Production/labour costs,6.196934060140998,37.08440164782261,50.70463647833143
AT,Austria,2018-S2,SME,SME,A,All,0,P5,Skilled staff,7.735391080354086,66.84172829704957,76.63735741743122
AT,Austria,2018-S2,SME,SME,A,All,0,P6,Regulation,6.043587494702401,33.03475758048213,45.61564260677171
AT,Austria,2019-S1,SME,SME,A,All,0,N8,Other,7.456387210790597,58.87203465482413,62.69236008569655
AT,Austria,2019-S1,SME,SME,A,All,0,P1,Finding customers,7.204979025651469,59.91673680582844,66.84407632091467
AT,Austria,2019-S1,SME,SME,A,All,0,P2,Competition,6.0060633657227624,33.26737585226071,46.136950522075736
AT,Austria,2019-S1,SME,SME,A,All,0,P3,Access to finance,4.0287362652744685,17.764923345170264,22.293199751404575
AT,Austria,2019-S1,SME,SME,A,All,0,P4,Production/labour costs,6.198781397407238,37.50127658456506,49.50471742446815
AT,Austria,2019-S1,SME,SME,A,All,0,P5,Skilled staff,7.663631800871052,66.6493917221232,74.94552652917234
AT,Austria,2019-S1,SME,SME,A,All,0,P6,Regulation,5.7724665679924945,31.722503930458146,43.5789777374271
AT,Austria,2019-S2,SME,SME,A,All,0,N8,Other,8.372756861573498,73.39311052361599,79.65024774381205
AT,Austria,2019-S2,SME,SME,A,All,0,P1,Finding customers,7.335000314767772,59.92496417086275,66.08593149055464
