component,FIRM_SIZE,FIRM_SECTOR,mean_value,observations
access_finance_main_problem,LAR,A,8.4168511875,128
access_finance_main_problem,MED,A,9.625260568181817,132
access_finance_main_problem,MIC,A,11.253462522727274,132
access_finance_main_problem,SME,A,10.76122505699482,386
access_finance_main_problem,SML,A,10.714829977272728,132
bank_loan_cost_too_high,LAR,A,0.767623143939394,132
bank_loan_cost_too_high,MED,A,0.9377335681818182,132
bank_loan_cost_too_high,MIC,A,2.402150787878788,132
bank_loan_cost_too_high,SME,A,2.2843448730569946,386
bank_loan_cost_too_high,SML,A,1.6136099242424242,132
bank_loan_limited_amount,LAR,A,5.829182524193548,124
bank_loan_limited_amount,MED,A,5.934069274193548,124
bank_loan_limited_amount,MIC,A,7.838079766129032,124
bank_loan_limited_amount,SME,A,6.443478642857143,364
bank_loan_limited_amount,SML,A,6.814239733870968,124
bank_loan_rejected,LAR,A,2.568188818181818,132
bank_loan_rejected,MED,A,3.9257430151515154,132
bank_loan_rejected,MIC,A,11.564400878787879,132
bank_loan_rejected,SME,A,9.477137041450778,386
bank_loan_rejected,SML,A,6.526115924242425,132
bank_willingness_deteriorated,LAR,A,14.099706545454547,132
bank_willingness_deteriorated,MED,A,15.803934962121213,132
bank_willingness_deteriorated,MIC,A,22.67598821212121,132
bank_willingness_deteriorated,SME,A,19.172290023316062,386
bank_willingness_deteriorated,SML,A,18.622822969696973,132
interest_rates_increased,LAR,A,35.70161299242424,132
interest_rates_increased,MED,A,34.08332674242424,132
interest_rates_increased,MIC,A,34.7757901969697,132
interest_rates_increased,SME,A,33.714675816062176,386
interest_rates_increased,SML,A,34.99508498484848,132
