REF_AREA,country_name,TIME_PERIOD,period_sort,access_finance_main_problem,bank_loan_cost_too_high,bank_loan_limited_amount,bank_loan_rejected,bank_willingness_deteriorated,interest_rates_increased,z_access_finance_main_problem,z_bank_loan_rejected,z_bank_loan_cost_too_high,z_bank_loan_limited_amount,z_bank_willingness_deteriorated,z_interest_rates_increased,components_available,SME_FPI_equal_raw,SME_FPI_equal_z,fbz_access_finance_main_problem,fbz_bank_loan_rejected,fbz_bank_loan_cost_too_high,fbz_bank_loan_limited_amount,fbz_bank_willingness_deteriorated,fbz_interest_rates_increased,SME_FPI_fixed_baseline_raw,SME_FPI_fixed_baseline_z,SME_FPI_pca_weighted_raw,SME_FPI_pca_weighted_z,SME_FPI_reliability_weighted_raw,SME_FPI_reliability_weighted_z,PC1,PC2,SME_FPI_pca_z,cluster,cluster_name,CISS_mean,CISS_max,CISS_z,Hidden_SME_Stress,Relative_Gap_equal,Relative_Gap_fixed_baseline,Relative_Gap_pca_weighted,Relative_Gap_reliability_weighted
AT,Austria,2009-S1,20091,9.163446,4.920178,,6.161737,26.82178,13.07885,-0.2405418019641393,-0.4854536928189589,1.0320772977480774,,0.5904695639109716,-0.917936018653179,5,-0.0042769303554456295,-0.013318751522895932,-0.031292928740918394,-0.2977236114734205,1.97741637949058,,2.326448169495753,-0.5978172917868619,0.6754061433970264,1.0268052542214108,-0.027894497908802735,-0.044826595763171884,-0.0137631012609416,-0.025252024053370122,-0.055084907211109355,0.3327081027104861,-0.032028188531716434,1,Bank Loan Cost Too High driven stress,0.7425331086962532,0.9090082718714998,3.3562980746141426,-3.3696168261370385,-3.3696168261370385,-2.3294928203927316,-3.4011246703773144,-3.3815500986675127
AT,Austria,2009-S2,20092,6.478622,8.266948,,14.31351,25.69492,16.35983,-0.6447356109199559,0.7081604280701191,2.342526469388305,,0.5034864402234026,-0.7719893652298647,5,0.42748967230640134,0.6088171961880907,-0.5780538105540127,1.3174051352497387,3.992657578055874,,2.1526427693280885,-0.06567292798185156,1.3637957488195673,2.073348983071925,0.2758356521639125,0.3659868624683648,0.252301227758191,0.32932482059956675,0.5447089011833431,1.2486044048712353,0.31671178668130207,1,Bank Loan Cost Too High driven stress,0.3626143295814082,0.6250423024336809,1.1327555316474174,-0.5239383354593267,-0.5239383354593267,0.9405934514245076,-0.7667686691790525,-0.8034307110478507
AT,Austria,2010-S1,20101,7.910672,0.0,4.777519,3.293514,21.95452,22.11973,-0.4291439206955028,-0.9054299942516452,-0.8944498267398536,-0.3549340980634114,0.21476230781921513,-0.5157738049238135,6,-0.48082822280916865,-0.6999853165971542,-0.2864187086626256,-0.8660109545229067,-0.9852447564328908,-0.20326961810123537,1.5757284065970207,0.8685291461181066,0.01721891916591149,0.026177547901246014,-0.41787170954662467,-0.5722944382084167,-0.3969457893951465,-0.535909386448186,-0.9861770227470794,-0.6117777715383307,-0.5733959665056886,2,Low SME financing pain,0.2990994728377089,0.620198322154093,0.7610234829998275,-1.4610087995969816,-1.4610087995969816,-0.7348459350985814,-1.3333179212082442,-1.2969328694480136
AT,Austria,2010-S2,20102,8.260863,0.0,4.053249,1.901498,22.08682,44.26475,-0.3764235061908475,-1.1092543590988424,-0.8944498267398536,-0.509240428535806,0.22497463877768858,0.4692951558721566,6,-0.36584972098591745,-0.534311874609746,-0.2151027713933634,-1.1418141518762412,-0.9852447564328908,-0.4362488028283569,1.5961341841045922,4.4602449076738715,0.5463281015412687,0.8305707175980254,-0.3480058217824161,-0.4777965855653403,-0.33332229644866757,-0.45112005201193145,-0.8212935630325107,0.007462781615499545,-0.47752726488001296,2,Low SME financing pain,0.35414514908524847,0.5197611348289679,1.0831881394244005,-1.6175000140341464,-1.6175000140341464,-0.25261742182637514,-1.5609847249897408,-1.534308191436332
AT,Austria,2011-S1,20111,7.343262,1.408845,5.749412,0.0,28.59319,53.05953,-0.5145661342706271,-1.387679048260616,-0.3428075677201192,-0.1478714799212722,0.727205959853144,0.8605101918048035,6,-0.1342013464191146,-0.2005278807613437,-0.4019710100237456,-1.5185621405207477,-0.13691562524290096,0.10936356949730736,2.59966811155688,5.8866762202405525,1.0897098542512242,1.6566621652185156,-0.1599370796975779,-0.22342219993839335,-0.1459738166141224,-0.20144572296844487,-0.37745142702803886,0.6092043096061632,-0.21946275447263222,0,Interest Rates Increased driven stress,0.24144550683157065,0.3489826909138579,0.4235933446842546,-0.6241212254455983,-0.6241212254455983,1.233068820534261,-0.647015544622648,-0.6250390676526995
AT,Austria,2011-S2,20112,8.273566,1.995827,1.415273,1.567416,27.47687,35.70834,-0.37451110003120136,-1.1581719372422554,-0.11297101615914419,-1.0712634260840213,0.6410364262510047,0.08868344692611603,6,-0.3311996010565836,-0.48438423993945023,-0.21251582212530268,-1.2080065546777872,0.21653271725337278,-1.2848183940163302,2.427488387087854,3.072474986520792,0.5018592200070998,0.7629656452204219,-0.3279279981047603,-0.45064011072474214,-0.3050900394067539,-0.41349567501913076,-0.7739099093289521,0.4472888219706311,-0.4499768400726699,2,Low SME financing pain,0.5548684476228806,0.7150665629513893,2.257957111631798,-2.7423413515712483,-2.7423413515712483,-1.494991466411376,-2.70859722235654,-2.671452786650929
AT,Austria,2012-S1,20121,8.207702,0.817821,7.571287,0.817821,26.65756,25.8609,-0.38442676714124896,-1.267930535396037,-0.5742267902001504,0.2402805156458422,0.5777933054831521,-0.349356685225522,6,-0.292977826138994,-0.42931017905805763,-0.225928939230833,-1.3565254637421031,-0.49279783828438706,0.6954142856317939,2.301119093287942,1.4753120370642236,0.39943219578777267,0.607248070438392,-0.24688024239989395,-0.34101810317939396,-0.2232312717879356,-0.3044046757241016,-0.5826372469415507,-0.3723134253088344,-0.3387645824495595,2,Low SME financing pain,0.3431146975047743,0.5303005312095004,1.018630450503462,-1.4479406295615196,-1.4479406295615196,-0.41138238006507,-1.359648553682856,-1.3230351262275637
AT,Austria,2012-S2,20122,7.296931,1.784107,9.542281,0.0,22.56116,22.10475,-0.5215411551147242,-1.387679048260616,-0.19587133456156472,0.6602024391317065,0.2615892802504195,-0.5164401548766573,6,-0.28328999557190604,-0.4153509065854734,-0.41140625733056446,-1.5185621405207477,0.08904655400933628,1.3294327804224773,1.6692957600905445,0.8660995297931672,0.33731770441070225,0.5128167616136295,-0.2834016497685466,-0.39041552275399655,-0.2707827101673929,-0.3677752111185103,-0.6688277498220346,-0.19535291779129912,-0.3888785939939567,2,Low SME financing pain,0.19238336613745136,0.449002168491289,0.1364483992920814,-0.5517993058775548,-0.5517993058775548,0.37636836232154813,-0.526863922046078,-0.5042236104105917
AT,Austria,2013-S1,20131,6.854539,0.0,8.185896,3.733139,18.61284,26.18728,-0.5881422088640879,-0.8410584019740069,-0.8944498267398536,0.3712234781671505,-0.043184344617001644,-0.3348384410593578,6,-0.3884082908478596,-0.566816698173081,-0.5014988071688623,-0.7789070845699322,-0.9852447564328908,0.8931183238301887,1.0603120907882422,1.5282478298635334,0.20267126605171318,0.3081167130268076,-0.3570780057601242,-0.49006726489270624,-0.3495066444102353,-0.47268850146975117,-0.8427039126219982,-0.606256065459554,-0.48997595087950147,2,Low SME financing pain,0.075273484937346,0.1617983147347727,-0.5489581069535545,-0.017858591219526487,-0.017858591219526487,0.8570748199803622,0.05889084206084827,0.07626960548380335
AT,Austria,2013-S2,20132,8.019711,0.0,9.433782,1.608303,24.18233,25.81442,-0.4127283609661749,-1.1521851046156855,-0.8944498267398536,0.6370866362544313,0.3867285438932642,-0.3514242383502335,6,-0.29782872508737535,-0.43629987811281534,-0.2642130595057283,-1.199905523274279,-0.9852447564328908,1.294531419654107,1.9193428827054317,1.467773414448524,0.37204739626586075,0.5656155559731365,-0.23996808154108742,-0.33166898618992435,-0.22056743652719446,-0.30085465342343876,-0.5663245508179424,-0.6860151079382522,-0.3292798409230791,2,Low SME financing pain,0.026063559427809305,0.1362835388874606,-0.8369679893858253,0.40066811127300994,0.40066811127300994,1.402583545358962,0.5052990031959009,0.5361133359623865
