REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
BE,2015-Q1,116.0,BKRT,eurostat_bankruptcies_index
BE,2015-Q2,111.7,BKRT,eurostat_bankruptcies_index
BE,2015-Q3,75.8,BKRT,eurostat_bankruptcies_index
BE,2015-Q4,96.6,BKRT,eurostat_bankruptcies_index
BE,2016-Q1,94.9,BKRT,eurostat_bankruptcies_index
BE,2016-Q2,102.0,BKRT,eurostat_bankruptcies_index
BE,2016-Q3,80.5,BKRT,eurostat_bankruptcies_index
BE,2016-Q4,99.2,BKRT,eurostat_bankruptcies_index
BE,2017-Q1,104.4,BKRT,eurostat_bankruptcies_index
BE,2017-Q2,112.1,BKRT,eurostat_bankruptcies_index
BE,2017-Q3,77.1,BKRT,eurostat_bankruptcies_index
BE,2017-Q4,117.2,BKRT,eurostat_bankruptcies_index
BE,2018-Q1,111.4,BKRT,eurostat_bankruptcies_index
BE,2018-Q2,92.1,BKRT,eurostat_bankruptcies_index
BE,2018-Q3,84.9,BKRT,eurostat_bankruptcies_index
BE,2018-Q4,117.9,BKRT,eurostat_bankruptcies_index
BE,2019-Q1,109.9,BKRT,eurostat_bankruptcies_index
BE,2019-Q2,119.1,BKRT,eurostat_bankruptcies_index
BE,2019-Q3,93.6,BKRT,eurostat_bankruptcies_index
BE,2019-Q4,110.2,BKRT,eurostat_bankruptcies_index
BE,2020-Q1,109.0,BKRT,eurostat_bankruptcies_index
BE,2020-Q2,50.5,BKRT,eurostat_bankruptcies_index
BE,2020-Q3,65.6,BKRT,eurostat_bankruptcies_index
BE,2020-Q4,68.9,BKRT,eurostat_bankruptcies_index
BE,2021-Q1,62.9,BKRT,eurostat_bankruptcies_index
BE,2021-Q2,64.0,BKRT,eurostat_bankruptcies_index
BE,2021-Q3,56.0,BKRT,eurostat_bankruptcies_index
BE,2021-Q4,83.7,BKRT,eurostat_bankruptcies_index
BE,2022-Q1,94.0,BKRT,eurostat_bankruptcies_index
BE,2022-Q2,107.7,BKRT,eurostat_bankruptcies_index
BE,2022-Q3,74.7,BKRT,eurostat_bankruptcies_index
BE,2022-Q4,102.3,BKRT,eurostat_bankruptcies_index
BE,2023-Q1,104.4,BKRT,eurostat_bankruptcies_index
BE,2023-Q2,113.7,BKRT,eurostat_bankruptcies_index
BE,2023-Q3,85.3,BKRT,eurostat_bankruptcies_index
BE,2023-Q4,116.3,BKRT,eurostat_bankruptcies_index
DE,2015-Q1,98.7,BKRT,eurostat_bankruptcies_index
DE,2015-Q2,101.3,BKRT,eurostat_bankruptcies_index
DE,2015-Q3,100.9,BKRT,eurostat_bankruptcies_index
DE,2015-Q4,99.1,BKRT,eurostat_bankruptcies_index
DE,2016-Q1,93.5,BKRT,eurostat_bankruptcies_index
DE,2016-Q2,96.6,BKRT,eurostat_bankruptcies_index
DE,2016-Q3,95.1,BKRT,eurostat_bankruptcies_index
DE,2016-Q4,87.1,BKRT,eurostat_bankruptcies_index
DE,2017-Q1,89.4,BKRT,eurostat_bankruptcies_index
DE,2017-Q2,87.3,BKRT,eurostat_bankruptcies_index
DE,2017-Q3,85.6,BKRT,eurostat_bankruptcies_index
DE,2017-Q4,85.5,BKRT,eurostat_bankruptcies_index
DE,2018-Q1,86.9,BKRT,eurostat_bankruptcies_index
DE,2018-Q2,85.7,BKRT,eurostat_bankruptcies_index
DE,2018-Q3,82.2,BKRT,eurostat_bankruptcies_index
DE,2018-Q4,79.3,BKRT,eurostat_bankruptcies_index
DE,2019-Q1,84.0,BKRT,eurostat_bankruptcies_index
DE,2019-Q2,82.1,BKRT,eurostat_bankruptcies_index
DE,2019-Q3,82.8,BKRT,eurostat_bankruptcies_index
DE,2019-Q4,75.5,BKRT,eurostat_bankruptcies_index
DE,2020-Q1,81.1,BKRT,eurostat_bankruptcies_index
DE,2020-Q2,74.8,BKRT,eurostat_bankruptcies_index
DE,2020-Q3,60.3,BKRT,eurostat_bankruptcies_index
DE,2020-Q4,58.0,BKRT,eurostat_bankruptcies_index
DE,2021-Q1,65.0,BKRT,eurostat_bankruptcies_index
DE,2021-Q2,63.2,BKRT,eurostat_bankruptcies_index
DE,2021-Q3,56.5,BKRT,eurostat_bankruptcies_index
DE,2021-Q4,57.2,BKRT,eurostat_bankruptcies_index
DE,2022-Q1,60.3,BKRT,eurostat_bankruptcies_index
DE,2022-Q2,62.9,BKRT,eurostat_bankruptcies_index
DE,2022-Q3,61.1,BKRT,eurostat_bankruptcies_index
DE,2022-Q4,68.5,BKRT,eurostat_bankruptcies_index
DE,2023-Q1,71.2,BKRT,eurostat_bankruptcies_index
DE,2023-Q2,77.1,BKRT,eurostat_bankruptcies_index
DE,2023-Q3,81.3,BKRT,eurostat_bankruptcies_index
DE,2023-Q4,75.3,BKRT,eurostat_bankruptcies_index
ES,2015-Q1,116.1,BKRT,eurostat_bankruptcies_index
ES,2015-Q2,105.7,BKRT,eurostat_bankruptcies_index
ES,2015-Q3,81.8,BKRT,eurostat_bankruptcies_index
ES,2015-Q4,96.4,BKRT,eurostat_bankruptcies_index
ES,2016-Q1,85.5,BKRT,eurostat_bankruptcies_index
ES,2016-Q2,86.7,BKRT,eurostat_bankruptcies_index
ES,2016-Q3,70.3,BKRT,eurostat_bankruptcies_index
