REF_AREA,TIME_PERIOD,OBS_VALUE,indic_bt,variable
BE,2015-Q1,99.6,REG,eurostat_registrations_index
BE,2015-Q2,98.3,REG,eurostat_registrations_index
BE,2015-Q3,91.8,REG,eurostat_registrations_index
BE,2015-Q4,110.2,REG,eurostat_registrations_index
BE,2016-Q1,116.3,REG,eurostat_registrations_index
BE,2016-Q2,105.2,REG,eurostat_registrations_index
BE,2016-Q3,102.0,REG,eurostat_registrations_index
BE,2016-Q4,96.5,REG,eurostat_registrations_index
BE,2017-Q1,110.1,REG,eurostat_registrations_index
BE,2017-Q2,90.8,REG,eurostat_registrations_index
BE,2017-Q3,89.0,REG,eurostat_registrations_index
BE,2017-Q4,100.9,REG,eurostat_registrations_index
BE,2018-Q1,136.3,REG,eurostat_registrations_index
BE,2018-Q2,91.4,REG,eurostat_registrations_index
BE,2018-Q3,85.0,REG,eurostat_registrations_index
BE,2018-Q4,136.4,REG,eurostat_registrations_index
BE,2019-Q1,139.9,REG,eurostat_registrations_index
BE,2019-Q2,113.8,REG,eurostat_registrations_index
BE,2019-Q3,115.7,REG,eurostat_registrations_index
BE,2019-Q4,136.0,REG,eurostat_registrations_index
BE,2020-Q1,130.9,REG,eurostat_registrations_index
BE,2020-Q2,88.1,REG,eurostat_registrations_index
BE,2020-Q3,132.1,REG,eurostat_registrations_index
BE,2020-Q4,142.4,REG,eurostat_registrations_index
BE,2021-Q1,148.7,REG,eurostat_registrations_index
BE,2021-Q2,133.4,REG,eurostat_registrations_index
BE,2021-Q3,124.0,REG,eurostat_registrations_index
BE,2021-Q4,147.7,REG,eurostat_registrations_index
BE,2022-Q1,125.6,REG,eurostat_registrations_index
BE,2022-Q2,121.2,REG,eurostat_registrations_index
BE,2022-Q3,124.5,REG,eurostat_registrations_index
BE,2022-Q4,120.9,REG,eurostat_registrations_index
BE,2023-Q1,130.2,REG,eurostat_registrations_index
BE,2023-Q2,108.7,REG,eurostat_registrations_index
BE,2023-Q3,102.7,REG,eurostat_registrations_index
BE,2023-Q4,123.8,REG,eurostat_registrations_index
DE,2015-Q1,113.5,REG,eurostat_registrations_index
DE,2015-Q2,99.7,REG,eurostat_registrations_index
DE,2015-Q3,98.3,REG,eurostat_registrations_index
DE,2015-Q4,88.6,REG,eurostat_registrations_index
DE,2016-Q1,104.6,REG,eurostat_registrations_index
