dataset,key,file,variable,label,frequency,status,url
BLS,Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.SME.E.Z.B3.ST.S.FNET,forecast_bls_credit_standards_sme.csv,bls_credit_standards_sme,"BLS SME credit standards, past three months",quarterly,downloaded,https://data-api.ecb.europa.eu/service/data/BLS/Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.SME.E.Z.B3.ST.S.FNET?format=csvdata&startPeriod=2009-01
BLS,Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.SME.E.Z.F3.ST.S.FNET,forecast_bls_credit_standards_sme_fwd.csv,bls_credit_standards_sme_fwd,"BLS SME credit standards, next three months",quarterly,downloaded,https://data-api.ecb.europa.eu/service/data/BLS/Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.SME.E.Z.F3.ST.S.FNET?format=csvdata&startPeriod=2009-01
BLS,Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.O.E.SME.B3.TC.S.FNET,forecast_bls_terms_conditions_sme.csv,bls_terms_conditions_sme,"BLS SME loan terms and conditions, past three months",quarterly,downloaded,https://data-api.ecb.europa.eu/service/data/BLS/Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.O.E.SME.B3.TC.S.FNET?format=csvdata&startPeriod=2009-01
BLS,Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.SME.E.Z.B3.ZZ.D.FNET,forecast_bls_loan_demand_sme.csv,bls_loan_demand_sme,"BLS SME loan demand, past three months",quarterly,downloaded,https://data-api.ecb.europa.eu/service/data/BLS/Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.SME.E.Z.B3.ZZ.D.FNET?format=csvdata&startPeriod=2009-01
BLS,Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.O.E.Z.B3.RA.D.FNET,forecast_bls_rejection_share_enterprise.csv,bls_rejection_share_enterprise,"BLS rejected enterprise loan applications, past three months",quarterly,downloaded,https://data-api.ecb.europa.eu/service/data/BLS/Q.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.ALL.O.E.Z.B3.RA.D.FNET?format=csvdata&startPeriod=2009-01
MIR,M.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.B.A2A.A.R.2.2240.EUR.N,forecast_mir_small_loan_rate.csv,mir_small_loan_rate,"MIR new business rate, corporate loans up to EUR 0.25M",monthly,downloaded,https://data-api.ecb.europa.eu/service/data/MIR/M.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.B.A2A.A.R.2.2240.EUR.N?format=csvdata&startPeriod=2009-01
MIR,M.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.B.A2A.A.R.1.2240.EUR.N,forecast_mir_large_loan_rate.csv,mir_large_loan_rate,"MIR new business rate, corporate loans over EUR 1M",monthly,downloaded,https://data-api.ecb.europa.eu/service/data/MIR/M.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.B.A2A.A.R.1.2240.EUR.N?format=csvdata&startPeriod=2009-01
MIR,M.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.B.A2A.A.B.2.2240.EUR.N,forecast_mir_small_loan_volume.csv,mir_small_loan_volume,"MIR new business volume, corporate loans up to EUR 0.25M",monthly,downloaded,https://data-api.ecb.europa.eu/service/data/MIR/M.AT+BE+DE+ES+FI+FR+GR+IE+IT+NL+PT+SK.B.A2A.A.B.2.2240.EUR.N?format=csvdata&startPeriod=2009-01
Eurostat sts_rb_q,BKRT,forecast_eurostat_bankruptcies_index.csv,eurostat_bankruptcies_index,"Eurostat business bankruptcy declarations index, 2015=100",quarterly,downloaded,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_rb_q
Eurostat sts_rb_q,REG,forecast_eurostat_registrations_index.csv,eurostat_registrations_index,"Eurostat business registrations index, 2015=100",quarterly,downloaded,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_rb_q
