KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-01,3.26,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-02,2.78,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-03,2.68,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-04,2.44,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-05,2.33,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-06,2.42,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-07,2.16,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-08,1.92,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-09,2.05,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
MIR.M.AT.B.A2A.A.R.1.2240.EUR.N,M,AT,B,A2A,A,R,1,2240,EUR,N,2009-10,1.83,A,F,,,P1M,,A,,,,,,,,,,4,,AT2,Bank interest rates - loans to corporations of over EUR 1M (new business) ,"Austria, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Over EUR 1 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",PCPA,0
