KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2010-06,246,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2010-07,293,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2010-08,207,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2010-09,,Q,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2010-10,231,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2010-11,201,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2010-12,,Q,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2011-01,297,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2011-02,262,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
MIR.M.AT.B.A2A.A.B.2.2240.EUR.N,M,AT,B,A2A,A,B,2,2240,EUR,N,2011-03,291,A,F,,,P1M,,S,,,,,,,,,,0,,AT2,Bank business volumes - loans to corporations of up to EUR 0.25M (new business) ,"Austria, Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans other than revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Up to and including EUR 0.25 million amount, New business coverage, Non-Financial corporations (S.11) sector, denominated in Euro",EUR,6
