KEY,FREQ,REF_AREA,FIRM_SIZE,FIRM_SECTOR,FIRM_TURNOVER,FIRM_AGE,FIRM_OWNERSHIP,SAFE_QUESTION,SAFE_ITEM,SAFE_ANSWER,SAFE_FILTER,SAFE_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2009-S1,9.163446,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2009-S2,6.478622,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2010-S1,7.910672,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2010-S2,8.260863,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2011-S1,7.343262,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2011-S2,8.273566,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2012-S1,8.207702,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2012-S2,7.296931,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2013-S1,6.854539,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2013-S2,8.019711,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2014-S1,7.061265,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2014-S2,7.025606,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2015-S1,7.492938,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2015-S2,6.142842,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2016-S1,7.49658,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2016-S2,4.978458,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2017-S1,6.320803,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2017-S2,6.193894,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2018-S1,5.124578,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2018-S2,4.736899,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2019-S1,5.296018,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2019-S2,4.629604,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q0.ZZZZ.P3.AL.WP,H,AT,SME,A,0,0,0,Q0,ZZZZ,P3,AL,WP,2020-S1,8.022563,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q0. Most pressing problem,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q0. Most pressing problem - Access to finance - Including not applicable responses - Weighted percentage of responses",PC,-2
