KEY,FREQ,REF_AREA,FIRM_SIZE,FIRM_SECTOR,FIRM_TURNOVER,FIRM_AGE,FIRM_OWNERSHIP,SAFE_QUESTION,SAFE_ITEM,SAFE_ANSWER,SAFE_FILTER,SAFE_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2010-S1,4.777519,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2010-S2,4.053249,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2011-S1,5.749412,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2011-S2,1.415273,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2012-S1,7.571287,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2012-S2,9.542281,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2013-S1,8.185896,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2013-S2,9.433782,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2014-S1,5.293991,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q7B.FBLN.S6.AL.WP,H,AT,SME,A,0,0,0,Q7B,FBLN,S6,AL,WP,2014-S2,9.83266,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q7B. Financing applied - outcome,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q7B. Financing applied - outcome, Bank loan - Applied but only got a limited part of it - Including not applicable responses - Weighted percentage of responses",PC,-2
