KEY,FREQ,REF_AREA,FIRM_SIZE,FIRM_SECTOR,FIRM_TURNOVER,FIRM_AGE,FIRM_OWNERSHIP,SAFE_QUESTION,SAFE_ITEM,SAFE_ANSWER,SAFE_FILTER,SAFE_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2009-S1,13.07885,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2009-S2,16.35983,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2010-S1,22.11973,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2010-S2,44.26475,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2011-S1,53.05953,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2011-S2,35.70834,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2012-S1,25.8609,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2012-S2,22.10475,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2013-S1,26.18728,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
SAFE.H.AT.SME.A.0.0.0.Q10.10A.N1.AL.WP,H,AT,SME,A,0,0,0,Q10,10A,N1,AL,WP,2013-S2,25.81442,A,F,,,P6M,,V,,,,,,,3,Austria - Small and medium-sized enterprises - Q10. Financing applied - conditions,"Residency of the firm Austria - Small and medium-sized enterprises - All sectors - All turnover breakdowns included - All ages included - All types of ownership, all export classes included - Question Q10. Financing applied - conditions, Level of interest rates - Increased, improved or will improve - Including not applicable responses - Weighted percentage of responses",PC,-2
