REF_AREA,country_name_wb,year,value,variable,indicator,label
AT,Austria,2025,,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2024,-0.659089573171372,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2023,-0.786244288594673,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2022,5.33096379400371,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2021,4.92309171717903,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2020,-6.31825509209936,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2019,1.75497619649288,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2018,2.48422114080024,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2017,2.27224992038207,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2016,2.11721964494312,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2015,1.30352331826198,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2014,0.755798850316665,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2013,-0.250726423318454,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2012,0.628246239479637,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2011,2.92746800169145,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2010,1.80898243043663,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
AT,Austria,2009,-3.58626472551299,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2025,,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2024,1.07045413019414,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2023,1.71412195515242,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2022,3.9562379757933,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2021,6.25445686466593,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2020,-4.7929839083518,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2019,2.4428900448156,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2018,1.87796847383565,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2017,1.47446761556785,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2016,1.19350273007754,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2015,1.47416433731927,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2014,1.76554038149924,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2013,0.305494549070232,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2012,0.215803612089744,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2011,1.93115502411325,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2010,2.71031150254662,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
BE,Belgium,2009,-1.90644105515335,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
DE,Germany,2025,,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
DE,Germany,2024,-0.495851897260366,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
DE,Germany,2023,-0.869647578573321,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
DE,Germany,2022,1.8092581243061,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
DE,Germany,2021,3.90999994204108,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,"GDP growth, annual %"
